t_s,seq,time_ms,phase,step_idx,running,estop,sensor_online,aan_on,torque_mode,link_age_ms,ctrl_loop_us,cross_check,hb_error,cps,amp_r,amp_l,assist_r,aan_factor,aan_driving,HR_ref_deg,HR_deg,HR_vel,HR_iq_a,HR_cmd_nm,HR_grav_nm,HR_ff_nm,HR_meas_nm,HR_effort,HR_patient_nm,HR_patient_status,KR_ref_deg,KR_deg,KR_vel,KR_iq_a,KR_cmd_nm,KR_grav_nm,KR_ff_nm,KR_meas_nm,KR_effort,KR_patient_nm,KR_patient_status,HL_ref_deg,HL_deg,HL_vel,HL_iq_a,HL_cmd_nm,HL_grav_nm,HL_ff_nm,HL_meas_nm,HL_effort,HL_patient_nm,HL_patient_status,KL_ref_deg,KL_deg,KL_vel,KL_iq_a,KL_cmd_nm,KL_grav_nm,KL_ff_nm,KL_meas_nm,KL_effort,KL_patient_nm,KL_patient_status
0.0066,40611,848080,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.312261,0.000000,0.000000,0.000000,0.000000,-2.497092,0.363386,ok,-0.000000,0.061656,0.000000,0.214648,0.000000,0.000000,0.000000,0.000000,1.716499,0.000000,no_baseline,0.000000,7.007082,0.000000,0.101647,0.000000,0.000000,0.000000,0.000000,0.812849,-0.800719,ok,0.000000,-0.000732,0.000000,-0.051703,0.000000,0.000000,0.000000,0.000000,-0.413459,0.000000,no_baseline
0.0176,40611,848080,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.312261,0.000000,0.000000,0.000000,0.000000,-2.497092,0.363386,ok,-0.000000,0.061656,0.000000,0.214648,0.000000,0.000000,0.000000,0.000000,1.716499,0.000000,no_baseline,0.000000,7.007082,0.000000,0.101647,0.000000,0.000000,0.000000,0.000000,0.812849,-0.800719,ok,0.000000,-0.000732,0.000000,-0.051703,0.000000,0.000000,0.000000,0.000000,-0.413459,0.000000,no_baseline
0.0268,40611,848080,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.312261,0.000000,0.000000,0.000000,0.000000,-2.497092,0.363386,ok,-0.000000,0.061656,0.000000,0.214648,0.000000,0.000000,0.000000,0.000000,1.716499,0.000000,no_baseline,0.000000,7.007082,0.000000,0.101647,0.000000,0.000000,0.000000,0.000000,0.812849,-0.800719,ok,0.000000,-0.000732,0.000000,-0.051703,0.000000,0.000000,0.000000,0.000000,-0.413459,0.000000,no_baseline
0.0610,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.0612,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.0719,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.0758,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.0859,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.1172,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.363386,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.800719,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
0.1380,40613,848120,GAIT,0,1,0,0,0,1,9999,7,0,0,0.3600,1.0000,1.0000,0.5000,1.0000,0,-0.000000,6.187285,0.000000,-0.254356,0.000000,0.000000,0.000000,0.000000,-2.034030,0.128845,ok,-0.000000,0.061656,0.000000,0.334752,0.000000,0.000000,0.000000,0.000000,2.676943,0.000000,no_baseline,0.000000,7.007082,0.000000,0.085774,0.000000,0.000000,0.000000,0.000000,0.685921,-0.941890,ok,0.000000,-0.000732,0.000000,-0.081706,0.000000,0.000000,0.000000,0.000000,-0.653385,0.000000,no_baseline
